MISSION ELAPSED TIME (min),WPSA,WPSA Range,DS54,DS54 Range,DS24,Range DS24,DS34,Range DS34
0,1,1139.486313,0,0,0,0,0,0
8.236480545,0,0,0,0,0,0,0,0
9.236480545,0,0,1,3804.920572,0,0,0,0
10.23648055,0,0,1,3804.920572,0,0,0,0
11.23648055,0,0,1,3804.920572,0,0,0,0
12.23648055,0,0,1,3804.920572,0,0,0,0
13.23648055,0,0,1,3804.920572,0,0,0,0
14.23648055,0,0,1,3804.920572,0,0,0,0
15.23648055,0,0,1,3804.920572,0,0,0,0
16.23648055,0,0,1,3804.920572,0,0,0,0
17.23648055,0,0,1,3804.920572,0,0,0,0
18.23648055,0,0,1,3804.920572,0,0,0,0
19.23648055,0,0,1,3804.920572,0,0,0,0
20.23648055,0,0,1,3804.920572,0,0,0,0
21.23648055,0,0,1,3804.920572,0,0,0,0
22.23648055,0,0,0,0,0,0,0,0
23.23648055,0,0,0,0,0,0,0,0
24.23648055,0,0,0,0,0,0,0,0
25.23648055,0,0,0,0,0,0,0,0
26.23648055,0,0,0,0,0,0,0,0
27.23648055,0,0,0,0,0,0,0,0
28.23648055,0,0,0,0,0,0,0,0
29.23648055,0,0,0,0,0,0,0,0
30.23648055,0,0,0,0,0,0,0,0
31.23648055,0,0,0,0,0,0,0,0
32.23648055,0,0,0,0,0,0,0,0
33.23648055,0,0,0,0,0,0,0,0
34.23648055,0,0,0,0,0,0,0,0
35.23648055,0,0,0,0,0,0,0,0
36.23648055,0,0,0,0,0,0,0,0
37.23648055,0,0,0,0,0,0,0,0
38.23648055,0,0,0,0,0,0,0,0
39.23648055,0,0,0,0,0,0,0,0
40.23648055,0,0,0,0,0,0,0,0
41.23648055,0,0,0,0,0,0,0,0
42.23648055,0,0,0,0,0,0,0,0
43.23648055,0,0,0,0,0,0,0,0
44.23648055,0,0,0,0,0,0,0,0
45.23648055,0,0,0,0,0,0,0,0
46.23648055,0,0,0,0,0,0,0,0
47.23648055,0,0,0,0,0,0,0,0
48.63913203,0,0,0,0,0,0,0,0
49.63913203,0,0,0,0,0,0,0,0
50.63913203,0,0,0,0,0,0,0,0
51.63913203,0,0,0,0,0,0,0,0
52.63913203,0,0,0,0,0,0,0,0
53.63913203,0,0,0,0,0,0,0,0
54.63913203,0,0,0,0,0,0,0,0
55.63913203,0,0,0,0,0,0,0,0
56.63913203,0,0,0,0,0,0,0,0
57.63913203,0,0,0,0,0,0,0,0
58.63913203,0,0,0,0,0,0,0,0
59.63913203,0,0,0,0,0,0,0,0
60.63913203,0,0,0,0,0,0,0,0
61.63913203,0,0,0,0,0,0,0,0
62.63913203,0,0,0,0,0,0,0,0
63.63913203,0,0,0,0,0,0,1,4625.421092
64.63913203,0,0,0,0,0,0,1,4625.421092
65.63913203,0,0,0,0,0,0,1,4625.421092
66.63913203,0,0,0,0,0,0,1,4625.421092
67.63913203,0,0,0,0,0,0,1,4625.421092
68.63913203,0,0,0,0,0,0,1,4625.421092
69.63913203,0,0,0,0,0,0,1,4625.421092
70.63913203,0,0,0,0,0,0,1,4625.421092
71.63913203,0,0,0,0,0,0,1,4625.421092
72.63913203,0,0,0,0,0,0,1,4625.421092
73.63913203,0,0,0,0,0,0,1,4625.421092
74.63913203,0,0,0,0,0,0,1,4625.421092
75.63913203,0,0,0,0,0,0,1,4625.421092
76.63913203,0,0,0,0,0,0,1,4625.421092
77.63913203,0,0,0,0,0,0,1,4625.421092
78.63913203,0,0,0,0,0,0,1,4625.421092
79.63913203,0,0,0,0,0,0,1,4625.421092
80.63913203,0,0,0,0,0,0,1,4625.421092
81.63913203,0,0,0,0,0,0,1,4625.421092
82.63913203,0,0,0,0,0,0,0,0
83.63913203,0,0,0,0,0,0,0,0
84.63913203,0,0,0,0,0,0,0,0
85.63913203,0,0,0,0,0,0,0,0
86.63913203,0,0,0,0,0,0,0,0
87.63913203,0,0,0,0,0,0,0,0
88.63913203,0,0,0,0,0,0,0,0
89.63913203,0,0,0,0,0,0,0,0
90.63913203,0,0,0,0,0,0,0,0
91.63913203,0,0,0,0,0,0,0,0
92.63913203,0,0,0,0,0,0,0,0
93.63913203,0,0,0,0,0,0,0,0
94.63913203,0,0,0,0,0,0,0,0
95.63913203,0,0,0,0,0,0,0,0
96.63913203,0,0,0,0,0,0,0,0
97.63913203,0,0,0,0,0,0,0,0
98.63913203,0,0,0,0,0,0,0,0
99.63913203,0,0,0,0,0,0,0,0
100.1082326,0,0,0,0,0,0,0,0
101.1082326,0,0,0,0,0,0,0,0
102.1082326,0,0,0,0,0,0,0,0
103.1082326,0,0,0,0,0,0,0,0
104.1082326,0,0,0,0,1,4297.006633,0,0
105.1082326,0,0,0,0,1,4297.006633,0,0
106.1082326,0,0,0,0,1,4297.006633,0,0
107.1082326,0,0,0,0,1,4297.006633,0,0
108.1082326,1,74284.61081,0,0,1,4297.006633,0,0
109.1082326,1,74284.61081,0,0,1,4297.006633,0,0
110.1082326,1,74284.61081,0,0,1,4297.006633,0,0
111.1082326,1,74284.61081,0,0,1,4297.006633,0,0
112.1082326,1,74284.61081,0,0,1,4297.006633,0,0
113.1082326,1,74284.61081,0,0,0,0,0,0
114.1082326,1,74284.61081,0,0,0,0,0,0
115.1082326,1,74284.61081,0,0,0,0,0,0
116.1082326,1,74284.61081,0,0,0,0,0,0
