PRECISE MISSION TIME (min),Pvx,Pvy,Pvz,Ppx,Ppy,Ppz,Distance X,Distance Y,Distance Z,Total Distance
0,-0.307917333,0.268538679,0.000720065,3689.773564,4222.72217,3028.891599,,,,0
8.236480545,-7.474524081,2.142612551,2.894976887,2319.817224,4865.712767,3698.167005,-1369.95634,642.990597,669.275406,1654.734677
8.253147212,-7.477600236,2.135657046,2.889638219,2312.341162,4867.851902,3701.059312,-7.476062,2.139135,2.892307,1663.031233
8.269813878,-7.48067639,2.128701541,2.884299551,2304.862024,4869.984081,3703.946281,-7.479138,2.132179,2.886969,1671.326911
8.286480545,-7.483752545,2.121746036,2.878960883,2297.379809,4872.109305,3706.827912,-7.482215,2.125224,2.881631,1679.621724
8.303147212,-7.486828699,2.114790531,2.873622215,2289.894519,4874.227573,3709.704203,-7.48529,2.118268,2.876291,1687.915678
8.319813878,-7.489904854,2.107835026,2.868283548,2282.406152,4876.338886,3712.575156,-7.488367,2.111313,2.870953,1696.208787
8.336480545,-7.492981008,2.100879521,2.86294488,2274.914709,4878.443243,3715.44077,-7.491443,2.104357,2.865614,1704.501059
8.353147212,-7.496057163,2.093924016,2.857606212,2267.42019,4880.540645,3718.301046,-7.494519,2.097402,2.860276,1712.792506
8.369813878,-7.499133317,2.086968511,2.852267544,2259.922595,4882.631091,3721.155983,-7.497595,2.090446,2.854937,1721.083137
8.386480545,-7.502209472,2.080013006,2.846928876,2252.421923,4884.714582,3724.005581,-7.500672,2.083491,2.849598,1729.372963
8.403147212,-7.505285626,2.073057501,2.841590208,2244.918176,4886.791117,3726.84984,-7.503747,2.076535,2.844259,1737.661994
8.419813878,-7.508361781,2.066101996,2.83625154,2237.411352,4888.860697,3729.688761,-7.506824,2.06958,2.838921,1745.950241
8.436480545,-7.511437935,2.059146491,2.830912872,2229.901452,4890.923321,3732.522344,-7.5099,2.062624,2.833583,1754.237714
8.453147212,-7.51451409,2.052190986,2.825574204,2222.388476,4892.97899,3735.350587,-7.512976,2.055669,2.828243,1762.524423
8.469813878,-7.517590244,2.045235481,2.820235536,2214.872424,4895.027703,3738.173492,-7.516052,2.048713,2.822905,1770.810378
8.486480545,-7.520666399,2.038279975,2.814896869,2207.353295,4897.069461,3740.991058,-7.519129,2.041758,2.817566,1779.095591
8.503147212,-7.523742553,2.03132447,2.809558201,2199.831091,4899.104263,3743.803286,-7.522204,2.034802,2.812228,1787.38007
8.519813878,-7.526818708,2.024368965,2.804219533,2192.30581,4901.13211,3746.610175,-7.525281,2.027847,2.806889,1795.663828
8.536480545,-7.529894862,2.01741346,2.798880865,2184.777454,4903.153001,3749.411725,-7.528356,2.020891,2.80155,1803.946873
8.553147212,-7.532971017,2.010457955,2.793542197,2177.246021,4905.166937,3752.207936,-7.531433,2.013936,2.796211,1812.229216
8.569813878,-7.536047171,2.00350245,2.788203529,2169.711512,4907.173917,3754.998809,-7.534509,2.00698,2.790873,1820.510869
8.586480545,-7.539123326,1.996546945,2.782864861,2162.173926,4909.173942,3757.784343,-7.537586,2.000025,2.785534,1828.791841
8.603147212,-7.54219948,1.98959144,2.777526193,2154.633265,4911.167011,3760.564539,-7.540661,1.993069,2.780196,1837.072142
8.619813878,-7.545275635,1.982635935,2.772187525,2147.089527,4913.153125,3763.339396,-7.543738,1.986114,2.774857,1845.351783
8.636480545,-7.54835179,1.97568043,2.766848857,2139.542714,4915.132283,3766.108914,-7.546813,1.979158,2.769518,1853.630774
8.653147212,-7.551427944,1.968724925,2.76151019,2131.992824,4917.104485,3768.873093,-7.54989,1.972202,2.764179,1861.909125
8.669813878,-7.554504099,1.96176942,2.756171522,2124.439858,4919.069733,3771.631934,-7.552966,1.965248,2.758841,1870.186849
8.686480545,-7.557580253,1.954813915,2.750832854,2116.883815,4921.028024,3774.385436,-7.556043,1.958291,2.753502,1878.463953
8.703147212,-7.560656408,1.94785841,2.745494186,2109.324697,4922.97936,3777.1336,-7.559118,1.951336,2.748164,1886.740449
8.719813878,-7.563732562,1.940902905,2.740155518,2101.762503,4924.923741,3779.876425,-7.562194,1.944381,2.742825,1895.016347
8.736480545,-7.566808717,1.9339474,2.73481685,2094.197232,4926.861166,3782.613911,-7.565271,1.937425,2.737486,1903.291658
8.753147212,-7.569884871,1.926991895,2.729478182,2086.628886,4928.791636,3785.346058,-7.568346,1.93047,2.732147,1911.566391
8.769813878,-7.572961026,1.92003639,2.724139514,2079.057462,4930.71515,3788.072867,-7.571424,1.923514,2.726809,1919.840558
8.786480545,-7.57603718,1.913080885,2.718800846,2071.482963,4932.631709,3790.794338,-7.574499,1.916559,2.721471,1928.114169
8.803147212,-7.579113335,1.90612538,2.713462178,2063.905388,4934.541312,3793.510469,-7.577575,1.909603,2.716131,1936.387234
