MISSION ELAPSED TIME (min),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH],Vx(km/s)[J2000-EARTH],Vy(km/s)[J2000-EARTH],Vz(km/s)[J2000-EARTH],MASS (kg),EARTH Rx(km)[J2000-EARTH],EARTH Ry(km)[J2000-EARTH],EARTH Rz(km)[J2000-EARTH],EARTH Vx(km/s)[J2000-EARTH],EARTH Vy(km/s)[J2000-EARTH],EARTH Vz(km/s)[J2000-EARTH],MOON Rx(km)[J2000-EARTH],MOON Ry(km)[J2000-EARTH],MOON Rz(km)[J2000-EARTH],MOON Vx(km/s)[J2000-EARTH],MOON Vy(km/s)[J2000-EARTH],MOON Vz(km/s)[J2000-EARTH]
0,3689.773564,4222.72217,3028.891599,-0.307917333,0.268538679,0.000720065,4592.6,0,0,0,0,0,0,-315259.8202,211922.4926,121411.1975,-0.632527239,-0.66763055,-0.346856956
8.236480545,2319.817224,4865.712767,3698.167005,-7.474524081,2.142612551,2.894976887,60129.73972,0,0,0,0,0,0,-315572.1612,211592.3938,121239.6909,-0.63152804,-0.668290608,-0.347236476
9.236480545,1865.808701,4981.749611,3862.256016,-7.65217195,1.724827772,2.573245596,60129.73972,0,0,0,0,0,0,-315610.0493,211552.294,121218.8553,-0.63140667,-0.66837067,-0.347282514
10.23648055,1402.384261,5072.667625,4006.812686,-7.788450893,1.30581359,2.244322238,60129.73972,0,0,0,0,0,0,-315647.93,211512.1894,121198.017,-0.631285287,-0.668450715,-0.347328543
11.23648055,932.0104707,5138.4804,4131.480818,-7.883948983,0.888450483,1.910701763,60129.73972,0,0,0,0,0,0,-315685.8035,211472.0799,121177.1759,-0.631163891,-0.668530744,-0.347374564
12.23648055,457.1066771,5179.368385,4236.050692,-7.93964356,0.475414741,1.574766234,60129.73972,0,0,0,0,0,0,-315723.6697,211431.9657,121156.332,-0.631042484,-0.668610756,-0.347420575
13.23648055,-19.97676063,5195.6658,4320.451362,-7.956847669,0.069152241,1.238754935,60129.73972,0,0,0,0,0,0,-315761.5286,211391.8466,121135.4854,-0.630921063,-0.668690752,-0.347466578
14.23648055,-496.9769412,5187.846254,4384.741366,-7.937154128,-0.328138849,0.904741609,60129.73972,0,0,0,0,0,0,-315799.3802,211351.7228,121114.6361,-0.630799631,-0.668770731,-0.347512572
15.23648055,-971.7335203,5156.50757,4429.098291,-7.882379437,-0.714516954,0.574618717,60129.73972,0,0,0,0,0,0,-315837.2246,211311.5941,121093.7839,-0.630678187,-0.668850693,-0.347558558
16.23648055,-1442.200491,5102.356322,4453.807591,-7.79450954,-1.08829837,0.250088327,60129.73972,0,0,0,0,0,0,-315875.0616,211271.4607,121072.929,-0.63055673,-0.668930639,-0.347604535
