PRECISE MISSION TIME (min),Ppx,Ppy,Ppz
0,3689.952709,4222.589636,3028.745989
0.033741837,3698.305362,4220.477854,3025.036476
0.067483675,3706.512169,4218.428326,3021.404852
0.101225512,3714.573234,4216.440929,3017.851
0.134967349,3722.488671,4214.515534,3014.374796
0.168709187,3730.258599,4212.65201,3010.976112
0.202451024,3737.883142,4210.850219,3007.654816
0.236192861,3745.362435,4209.110021,3004.410771
0.269934699,3752.696614,4207.431272,3001.243835
0.303676536,3759.885827,4205.813822,2998.153861
0.337418373,3766.930225,4204.25752,2995.140698
0.371160211,3773.829966,4202.762209,2992.204192
0.404902048,3780.585215,4201.327728,2989.344182
0.438643886,3787.196144,4199.953913,2986.560504
0.472385723,3793.66293,4198.640595,2983.852989
0.50612756,3799.985756,4197.387603,2981.221464
0.539869398,3806.164813,4196.194759,2978.66575
0.573611235,3812.200298,4195.061885,2976.185667
0.607353072,3818.092413,4193.988797,2973.781027
0.64109491,3823.841366,4192.975306,2971.45164
0.674836747,3829.447373,4192.021223,2969.197311
0.708578584,3834.910654,4191.126351,2967.01784
0.742320422,3840.231437,4190.290493,2964.913025
0.776062259,3845.409955,4189.513447,2962.882657
0.809804096,3850.446446,4188.795005,2960.926525
0.843545934,3855.341156,4188.134959,2959.044413
0.877287771,3860.094335,4187.533096,2957.236101
0.911029608,3864.70624,4186.989199,2955.501365
0.944771446,3869.177133,4186.503048,2953.839977
0.978513283,3873.507282,4186.074419,2952.251704
1.01225512,3877.696962,4185.703085,2950.73631
1.045996958,3881.746451,4185.388817,2949.293557
1.079738795,3885.656036,4185.131379,2947.923199
1.113480633,3889.426006,4184.930534,2946.624989
1.14722247,3893.056658,4184.786042,2945.398675
1.180964307,3896.548294,4184.69766,2944.244002
1.214706145,3899.901221,4184.665139,2943.160712
1.248447982,3903.115751,4184.688229,2942.14854
1.282189819,3906.192202,4184.766677,2941.20722
1.315931657,3909.130898,4184.900226,2940.336483
1.349673494,3911.932167,4185.088615,2939.536054
1.383415331,3914.596343,4185.331583,2938.805656
1.417157169,3917.123765,4185.628861,2938.145007
1.450899006,3919.514776,4185.980182,2937.553824
1.484640843,3921.769727,4186.385273,2937.031819
1.518382681,3923.88897,4186.843859,2936.578699
1.552124518,3925.872864,4187.35566,2936.19417
1.585866355,3927.721775,4187.920398,2935.877934
1.619608193,3929.436071,4188.537786,2935.62969
1.65335003,3931.016125,4189.207538,2935.449131
1.687091867,3932.462315,4189.929365,2935.335951
1.720833705,3933.775026,4190.702975,2935.289838
1.754575542,3934.954645,4191.52807,2935.310477
1.788317379,3936.001564,4192.404355,2935.397551
1.822059217,3936.916181,4193.331528,2935.550739
1.855801054,3937.698897,4194.309285,2935.769716
1.889542892,3938.350118,4195.337321,2936.054157
1.923284729,3938.870255,4196.415327,2936.40373
1.957026566,3939.259723,4197.542993,2936.818104
1.990768404,3939.518941,4198.720004,2937.296943
2.024510241,3939.648332,4199.946044,2937.839907
2.058252078,3939.648324,4201.220795,2938.446655
2.091993916,3939.519349,4202.543936,2939.116843
2.125735753,3939.261843,4203.915143,2939.850125
2.15947759,3938.876247,4205.334091,2940.646149
2.193219428,3938.363004,4206.800452,2941.504563
2.226961265,3937.722562,4208.313896,2942.425013
2.260703102,3936.955373,4209.87409,2943.40714
2.29444494,3936.061894,4211.480699,2944.450585
2.328186777,3935.042583,4213.133387,2945.554984
2.361928614,3933.897904,4214.831814,2946.719972
2.395670452,3932.628325,4216.575641,2947.945181
2.429412289,3931.234316,4218.364522,2949.230241
2.463154126,3929.716352,4220.198114,2950.57478
2.496895964,3928.074909,4222.076069,2951.978422
2.530637801,3926.310471,4223.998039,2953.44079
2.564379638,3924.423521,4225.963671,2954.961506
2.598121476,3922.414548,4227.972614,2956.540186
2.631863313,3920.284043,4230.024513,2958.176448
2.665605151,3918.032501,4232.119011,2959.869905
2.699346988,3915.660421,4234.25575,2961.62017
2.733088825,3913.168302,4236.434369,2963.426852
2.766830663,3910.556651,4238.654509,2965.28956
2.8005725,3907.825973,4240.915804,2967.207898
2.834314337,3904.97678,4243.21789,2969.181472
2.868056175,3902.009585,4245.560401,2971.209883
2.901798012,3898.924903,4247.942968,2973.292731
2.935539849,3895.723255,4250.365223,2975.429616
2.969281687,3892.405162,4252.826793,2977.620134
3.003023524,3888.971148,4255.327307,2979.86388
3.036765361,3885.421741,4257.86639,2982.160446
3.070507199,3881.757471,4260.443668,2984.509426
3.104249036,3877.97887,4263.058764,2986.910409
3.137990873,3874.086474,4265.7113,2989.362983
3.171732711,3870.080819,4268.400896,2991.866736
3.205474548,3865.962446,4271.127173,2994.421252
3.239216385,3861.731898,4273.88975,2997.026117
3.272958223,3857.389718,4276.688242,2999.680913
3.30670006,3852.936453,4279.522268,3002.385221
3.340441898,3848.372653,4282.391442,3005.138622
3.374183735,3843.698868,4285.295377,3007.940693
3.407925572,3838.915652,4288.233688,3010.791013
3.44166741,3834.023561,4291.205987,3013.689158
3.475409247,3829.023151,4294.211884,3016.634703
3.509151084,3823.914982,4297.250991,3019.627222
3.542892922,3818.699614,4300.322916,3022.666288
3.576634759,3813.377612,4303.427269,3025.751474
3.610376596,3807.949539,4306.563657,3028.882349
3.644118434,3802.415962,4309.731688,3032.058484
3.677860271,3796.777449,4312.930969,3035.279449
3.711602108,3791.03457,4316.161104,3038.544811
3.745343946,3785.187896,4319.4217,3041.854138
3.779085783,3779.238,4322.71236,3045.206996
3.81282762,3773.185456,4326.03269,3048.602951
3.846569458,3767.03084,4329.382291,3052.041569
3.880311295,3760.774728,4332.760768,3055.522413
3.914053132,3754.4177,4336.167724,3059.045049
3.94779497,3747.960334,4339.602759,3062.609037
3.981536807,3741.403212,4343.065476,3066.213943
4.015278644,3734.746914,4346.555476,3069.859327
4.049020482,3727.992025,4350.072361,3073.544751
4.082762319,3721.139129,4353.61573,3077.269777
4.116504157,3714.18881,4357.185185,3081.033965
4.150245994,3707.141654,4360.780327,3084.836876
4.183987831,3699.998248,4364.400754,3088.67807
4.217729669,3692.75918,4368.046067,3092.557106
4.251471506,3685.425039,4371.715866,3096.473545
4.285213343,3677.996413,4375.409751,3100.426945
4.318955181,3670.473893,4379.127321,3104.416865
4.352697018,3662.858069,4382.868176,3108.442866
4.386438855,3655.149533,4386.631917,3112.504505
4.420180693,3647.348875,4390.418142,3116.601342
4.45392253,3639.456689,4394.226452,3120.732935
4.487664367,3631.473567,4398.056446,3124.898844
4.521406205,3623.400102,4401.907725,3129.098626
4.555148042,3615.236887,4405.779889,3133.331842
4.588889879,3606.984516,4409.672539,3137.59805
4.622631717,3598.643584,4413.585276,3141.896809
4.656373554,3590.214683,4417.5177,3146.227679
4.690115391,3581.69841,4421.469413,3150.590219
4.723857229,3573.095357,4425.440017,3154.98399
4.757599066,3564.40612,4429.429114,3159.408551
4.791340904,3555.631293,4433.436306,3163.863463
4.825082741,3546.77147,4437.461197,3168.348287
4.858824578,3537.827247,4441.50339,3172.862584
4.892566416,3528.799216,4445.562488,3177.405916
4.926308253,3519.687974,4449.638097,3181.977845
4.96005009,3510.494112,4453.729821,3186.577934
