MISSION ELAPSED TIME (mins),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH],Vx(km/s)[J2000-EARTH],Vy(km/s)[J2000-EARTH],Vz(km/s)[J2000-EARTH],MASS (kg),WPSA,WPSA Range,DS54,DS54 Range,DS24,Range DS24,DS34,Range DS34
0,3690,4220,3030,-0.308,0.269,0.0007,60129.73972,1,1139.486313,0,,0,,0,
8.236480545,2320,4870,3700,-7.47,2.14,2.89,60129.73972,0,,0,,0,,0,
9.236480545,1870,4980,3860,-7.65,1.72,2.57,60129.73972,0,,1,3804.920572,0,,0,
10.23648055,1400,5070,4010,-7.79,1.31,2.24,60129.73972,0,,1,3804.920572,0,,0,
11.23648055,932,5140,4130,-7.88,0.888,1.91,60129.73972,0,,1,3804.920572,0,,0,
12.23648055,457,5180,4240,-7.94,0.475,1.57,60129.73972,0,,1,3804.920572,0,,0,
13.23648055,-20,5200,4320,-7.96,0.0692,1.24,60129.73972,0,,1,3804.920572,0,,0,
14.23648055,-497,5190,4380,-7.94,-0.328,0.905,60129.73972,0,,1,3804.920572,0,,0,
15.23648055,-972,5160,4430,-7.88,-0.715,0.575,60129.73972,0,,1,3804.920572,0,,0,
16.23648055,-1440,5100,4450,-7.79,-1.09,0.25,60129.73972,0,,1,3804.920572,0,,0,
17.23648055,-1910,5030,4460,-7.68,-1.45,-0.0673,60129.73972,0,,1,3804.920572,0,,0,
18.23648055,-2360,4930,4450,-7.53,-1.79,-0.376,60129.73972,0,,1,3804.920572,0,,0,
19.23648055,-2810,4810,4410,-7.35,-2.12,-0.676,60129.73972,0,,1,3804.920572,0,,0,
20.23648055,-3240,4670,4370,-7.16,-2.43,-0.965,60129.73972,0,,1,3804.920572,0,,0,
21.23648055,-3670,4520,4300,-6.93,-2.73,-1.24,60129.73972,0,,1,3804.920572,0,,0,
22.23648055,-4080,4350,4220,-6.69,-3,-1.51,60129.73972,0,,0,,0,,0,
23.23648055,-4470,4160,4120,-6.43,-3.26,-1.76,60129.73972,0,,0,,0,,0,
24.23648055,-4850,3960,4010,-6.16,-3.5,-2,60129.73972,0,,0,,0,,0,
25.23648055,-5210,3740,3880,-5.87,-3.72,-2.23,60129.73972,0,,0,,0,,0,
26.23648055,-5550,3510,3740,-5.57,-3.93,-2.44,60129.73972,0,,0,,0,,0,
27.23648055,-5880,3270,3590,-5.26,-4.11,-2.64,60129.73972,0,,0,,0,,0,
28.23648055,-6180,3020,3420,-4.93,-4.28,-2.83,60129.73972,0,,0,,0,,0,
29.23648055,-6470,2760,3250,-4.6,-4.43,-3.01,60129.73972,0,,0,,0,,0,
30.23648055,-6730,2490,3060,-4.27,-4.56,-3.17,60129.73972,0,,0,,0,,0,
31.23648055,-6980,2210,2870,-3.93,-4.68,-3.31,60129.73972,0,,0,,0,,0,
32.23648055,-7210,1930,2660,-3.58,-4.78,-3.45,60129.73972,0,,0,,0,,0,
33.23648055,-7410,1640,2450,-3.23,-4.86,-3.57,60129.73972,0,,0,,0,,0,
34.23648055,-7590,1340,2230,-2.88,-4.93,-3.68,60129.73972,0,,0,,0,,0,
35.23648055,-7760,1040,2010,-2.53,-4.99,-3.78,60129.73972,0,,0,,0,,0,
36.23648055,-7900,744,1780,-2.18,-5.03,-3.86,60129.73972,0,,0,,0,,0,
37.23648055,-8020,441,1550,-1.83,-5.06,-3.94,60129.73972,0,,0,,0,,0,
38.23648055,-8120,137,1310,-1.48,-5.07,-4,60129.73972,0,,0,,0,,0,
39.23648055,-8190,-167,1070,-1.13,-5.07,-4.05,60129.73972,0,,0,,0,,0,
