MISSION ELAPSED TIME (min),WPSA,WPSA Range,DS54,DS54 Range,DS24,Range DS24,DS34,Range DS34,Antenna to use,,,,,,,,,,,,,,,,,Ppz
0,1,1139.486313,0,0,0,0,0,0,WPSA,,,,,,,,,,,,,,,,,
8.236480545,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
9.236480545,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
10.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
11.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
12.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
13.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
14.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
15.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
16.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
17.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
18.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
19.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
20.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
21.23648055,0,0,1,3804.920572,0,0,0,0,DS54,,,,,,,,,,,,,,,,,
22.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
23.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
24.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
25.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
26.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
27.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
28.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
29.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
30.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
31.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
32.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
33.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
34.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
35.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
36.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
37.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
38.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
39.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
40.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
41.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
42.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
43.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
44.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
45.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
46.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
47.23648055,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
48.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
49.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
50.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
51.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
52.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
53.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
54.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
55.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
56.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
57.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
58.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
59.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
60.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
61.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
62.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
63.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
64.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
65.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
66.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
67.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
68.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
69.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
70.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
71.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
72.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
73.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
74.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
75.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
76.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
77.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
78.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
79.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
80.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
81.63913203,0,0,0,0,0,0,1,4625.421092,DS34,,,,,,,,,,,,,,,,,
82.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
83.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
84.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
85.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
86.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
87.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
88.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
89.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
90.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
91.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
92.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
93.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
94.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
95.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
96.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
97.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
98.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
99.63913203,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
100.1082326,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
101.1082326,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
102.1082326,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
103.1082326,0,0,0,0,0,0,0,0,NONE,,,,,,,,,,,,,,,,,
104.1082326,0,0,0,0,1,4297.006633,0,0,DS24,,,,,,,,,,,,,,,,,
105.1082326,0,0,0,0,1,4297.006633,0,0,DS24,,,,,,,,,,,,,,,,,
106.1082326,0,0,0,0,1,4297.006633,0,0,DS24,,,,,,,,,,,,,,,,,
107.1082326,0,0,0,0,1,4297.006633,0,0,DS24,,,,,,,,,,,,,,,,,
108.1082326,1,74284.61081,0,0,1,4297.006633,0,0,DS24,,,,,,,,,,,,,,,,,
109.1082326,1,74284.61081,0,0,1,4297.006633,0,0,DS24,,,,,,,,,,,,,,,,,
