MISSION ELAPSED TIME (min),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH]
0,3689.773564,4222.72217,3028.891599
8.236480545,2319.817224,4865.712767,3698.167005
8.25417114,2281.159975,4889.627428,3725.11406
8.287588836,2267.40464,4893.020249,3729.931782
8.321006533,2253.614218,4896.400566,3734.745196
8.35442423,2239.789023,4899.768217,3739.554109
8.387841927,2225.929363,4903.123039,3744.35833
8.421259624,2212.03555,4906.46487,3749.157671
8.454677321,2198.107892,4909.793549,3753.951942
8.488095018,2184.146697,4913.108917,3758.740957
8.521512715,2170.152271,4916.410815,3763.524529
8.554930412,2156.12492,4919.699085,3768.302471
8.588348109,2142.064948,4922.973571,3773.074601
8.621765806,2127.972659,4926.234118,3777.840734
8.655183503,2113.848355,4929.48057,3782.600688
8.688601199,2099.692338,4932.712774,3787.354282
8.722018896,2085.504907,4935.930577,3792.101336
8.755436593,2071.286361,4939.133828,3796.84167
8.78885429,2057.037,4942.322376,3801.575106
8.822271987,2042.757119,4945.496072,3806.301468
8.855689684,2028.447015,4948.654766,3811.020578
8.889107381,2014.106982,4951.798312,3815.732263
8.922525078,1999.737314,4954.926562,3820.436348
8.955942775,1985.338304,4958.039371,3825.132659
8.989360472,1970.910243,4961.136595,3829.821026
9.022778169,1956.453421,4964.218089,3834.501278
9.056195866,1941.968128,4967.283712,3839.173244
9.089613563,1927.454651,4970.333322,3843.836756
9.123031259,1912.913279,4973.366778,3848.491646
9.156448956,1898.344296,4976.383941,3853.137748
9.189866653,1883.747988,4979.384672,3857.774896
9.22328435,1869.124639,4982.368834,3862.402925
9.256702047,1854.47453,4985.33629,3867.021672
9.290119744,1839.797945,4988.286904,3871.630974
9.323537441,1825.095161,4991.220543,3876.230671
9.356955138,1810.36646,4994.137072,3880.820601
9.390372835,1795.61212,4997.03636,3885.400606
9.423790532,1780.832416,4999.918274,3889.970526
9.457208229,1766.027626,5002.782685,3894.530206
9.490625926,1751.198023,5005.629462,3899.079489
9.524043623,1736.343882,5008.458478,3903.61822
9.557461319,1721.465475,5011.269604,3908.146244
9.590879016,1706.563073,5014.062715,3912.663409
9.624296713,1691.636946,5016.837685,3917.169563
9.65771441,1676.687365,5019.59439,3921.664555
9.691132107,1661.714595,5022.332705,3926.148235
9.724549804,1646.718905,5025.05251,3930.620454
9.757967501,1631.700561,5027.753681,3935.081065
9.791385198,1616.659825,5030.436099,3939.52992
9.824802895,1601.596963,5033.099645,3943.966875
9.858220592,1586.512236,5035.744199,3948.391784
9.891638289,1571.405905,5038.369646,3952.804505
9.925055986,1556.27823,5040.975867,3957.204894
9.958473682,1541.12947,5043.562747,3961.59281
9.991891379,1525.959883,5046.130173,3965.968112
10.02530908,1510.769726,5048.678031,3970.330662
10.05872677,1495.559253,5051.206207,3974.680321
10.09214447,1480.328719,5053.714592,3979.016952
10.12556217,1465.078377,5056.203073,3983.340418
10.15897986,1449.808479,5058.671543,3987.650584
10.19239756,1434.519276,5061.119892,3991.947316
10.22581526,1419.211017,5063.548012,3996.230481
10.25923295,1403.883951,5065.955798,4000.499946
10.29265065,1388.538325,5068.343143,4004.755582
10.32606835,1373.174386,5070.709944,4008.997257
10.35948605,1357.792378,5073.056096,4013.224842
10.39290374,1342.392546,5075.381497,4017.438211
10.42632144,1326.975131,5077.686046,4021.637235
10.45973914,1311.540377,5079.969641,4025.821789
10.49315683,1296.088523,5082.232183,4029.991748
10.52657453,1280.619808,5084.473574,4034.146988
10.55999223,1265.134472,5086.693715,4038.287386
10.59340992,1249.63275,5088.89251,4042.412821
10.62682762,1234.114878,5091.069863,4046.523172
10.66024532,1218.581092,5093.225679,4050.618319
10.69366301,1203.031625,5095.359865,4054.698143
10.72708071,1187.46671,5097.472328,4058.762526
10.76049841,1171.886577,5099.562975,4062.811353
